"","...1","country","year","res","capacity","members","unit_no","org_count","CF","Tech","CSI","law_year","REscoop","policy_maturity","REscoop.membership","inc","currency","prc","elec","pop","inst","TGC","FIT","premium","support","participation","lq","log_CSI","log_res","log_unit_no","log_policy_maturity","log_REscoop.membership","log_inc","log_prc","log_support","log_participation","log_TGC","log_FIT","log_premium","key","gov_eff","rq","urban","edu","org_size","log_org_size","inst2","CDI","mean_inc","mean_TGC","mean_support","mean_res","mean_prc","w_res","w_inc","w_prc","w_TGC","mean_org_size","log_inst","mean_inst","mean_gov_eff","cappc","mean_rq","mean_urban","mean_CF","mean_Tech","mean_edu","mean_inst2","w_support","w_CF","w_Tech","w_inst","w_inst2","w_edu","log_org_size_c","w_org_size_c","orgpc","shares","sharespc","CDI2","log_cappc"
"113",507,"Hungary","2024",18.264,30,15,1,1,0.14,1,0.274702651292937,2024,NA,0,0,8517790.24719033,"EUR",0.1063,NA,9562065,54.70853404,0,0.0384506739,0,0.0384506739,1.56869881139691e-06,NA,-1.29206603433325,2.9049319092275,0,0,0,15.9576675045073,-2.24148999363423,-3.25837905652608,-13.3652640647839,0,-3.25837905652608,0,"Hungary 2024",0.501908,0.3350444,70.491825943218,32.3,30,3.40119738166216,-1.56921524269462,-0.90714123814836,15.5651726017522,0,0.04591371821875,14.653875,0.10760625,3.610125,0.392494902755127,-0.00130624999999999,0,3.40119738166216,4.0020197126153,56.4329589525,0.6210293375,3.13739762279382e-06,0.389532475,70.3527816732181,0.14,1,70.3527816732181,-1.42325929399975,-0.00746304431874999,0,0,-1.7244249125,-0.145955948694869,-38.0527816732181,-4.02994624466291,-7.43114362632507,-16.0733142658861,NA,-11.0698552658881,-2.00438126218225,-12.672116884224
"114",9,"Italy","2005",7.549,99,381,6,1,0.00671680343552022,3,0.181814812601999,2024,2015,0,0,25772.0235787216,"EUR",0.199,3.32228e+11,58166682,61.73086311,0,0.15575,0,0.15575,6.55014153979077e-06,0.00614983959905672,-1.70476662309912,2.02141510415749,1.79175946922805,0,0,10.157044825155,-1.61445045425764,-1.85950312131457,-11.9360238994222,0,-1.85950312131457,0,"Italy 2005",0.4420055,0.9062855,67.5897169318419,16.2,99,4.59511985013459,-1.05335721463879,-1.31676761068978,10.2727980024114,0,0.21501975,15.547,0.235955,-7.998,-0.115753177256462,-0.036955,0,7.66561701811402,4.12278401832652,63.3261329795,0.449498175,1.70200528199288e-06,0.65600614,68.930859249526,0.249920902668458,1.7041883795342,68.930859249526,-1.16219596136429,-0.05926975,-0.243204099232938,1.2958116204658,-1.5952698695,0.108838746725507,-52.730859249526,-2.83602377619048,-10.5016407943045,-17.8788232745489,1800,-10.3832813306647,-2.19600009620033,-13.2837034244143
"115",35,"Italy","2006",8.328,99,25,2,1,0.4,1,0.385339338526867,2024,2015,0,0,26710.0669982759,"EUR",0.2108,3.3918e+11,58399861,61.93384005,0,0.15575,0,0.15575,4.28083210677505e-07,0.013676163919803,-0.953630934127075,2.11962333131267,0.693147180559945,0,0,10.1927958144601,-1.55684546231493,-1.85950312131457,-14.6639482427904,0,-1.85950312131457,0,"Italy 2006",0.3090963,0.9347533,67.6812550714834,17.3,99,4.59511985013459,-1.10242408426022,-0.168359195952827,10.2727980024114,0,0.21501975,15.547,0.235955,-7.219,-0.0800021879513029,-0.025155,0,7.66561701811402,4.12606671932509,63.3261329795,0.449498175,1.69520951428292e-06,0.65600614,68.930859249526,0.249920902668458,1.7041883795342,68.930859249526,-1.16219596136429,-0.05926975,0.150079097331542,-0.704188379534197,-1.3922929295,0.0597718771040716,-51.630859249526,-2.83602377619048,-10.5016407943045,-17.8828240676586,1800,-10.3872821237744,-2.49242040302445,-13.287704217524
"116",61,"Italy","2007",9.807,5354.26,2837,10.5,2,0.168531108908234,1.5,0.622332361402129,2024,2015,0,0,27600.716226821,"EUR",0.21185,3.39194e+11,58756247,62.07652828,0,0.3115,0,0.3115,4.82842275477534e-05,0.104550271455355,-0.474280985863151,2.28309641641018,2.35137525716348,0,0,10.2255970016157,-1.55187680190957,-1.16635594075463,-9.93840560244175,0,-1.16635594075463,0,"Italy 2007",0.1999166,0.9144553,67.7857771296669,18.8,2677.13,7.8925006041642,-1.17068711687246,1.53414981428754,10.2727980024114,0,0.21501975,15.547,0.235955,-5.74,-0.0472010007957415,-0.024105,0,7.66561701811402,4.12836795098645,63.3261329795,0.449498175,9.11266507542594e-05,0.65600614,68.930859249526,0.249920902668458,1.7041883795342,68.930859249526,-1.16219596136429,0.09648025,-0.0813897937602238,-0.204188379534197,-1.2496046995,-0.00849115550816504,-50.130859249526,0.461356977839135,-7.20426004027488,-17.1957608566907,4418,-9.49546565327054,-1.32656530008297,-9.30326025252645
"117",87,"Italy","2008",11.492,9910.26,3609,6.5,4,0.245687405938823,1.5,0.622309706957441,2024,2015,0,0,27760.2772354769,"EUR",0.2129,3.38721e+11,59211181,62.10598223,0,0.4855,0,0.4855,6.095132606796e-05,0.145334540942808,-0.474317389011119,2.44165114111704,1.87180217690159,0,0,10.2313614014396,-1.5469327070827,-0.722575991250757,-9.70543494562133,0,-0.722575991250757,0,"Italy 2008",0.26155,0.8886584,67.9071958431441,19.9,2477.565,7.81503150198511,-1.15243587533726,1.52911471422333,10.2727980024114,0,0.21501975,15.547,0.235955,-4.055,-0.0414366009717817,-0.023055,0,7.66561701811402,4.1288423165059,63.3261329795,0.449498175,0.000167371429392702,0.65600614,68.930859249526,0.249920902668458,1.7041883795342,68.930859249526,-1.16219596136429,0.27048025,-0.00423349672963513,-0.204188379534197,-1.2201507495,0.00976008602703682,-49.030859249526,0.383887875660042,-7.28172914245398,-16.5103265891442,6218,-9.16141735964542,-1.09659181717972,-8.69529508715912
"118",113,"Italy","2009",12.775,5354.26,3013,10.5,2,0.168531108908234,1.5,0.631303174256691,2024,2015,0,0,26598.8535659555,"EUR",0.20475,3.17246e+11,59555454,62.23793776,0,0.47927,0,0.47927,5.05915041802888e-05,0.0864849934016809,-0.459969065494015,2.54749013608977,2.35137525716348,0,0,10.1886233948168,-1.58596555624896,-0.735491166054416,-9.89172689734322,0,-0.735491166054416,0,"Italy 2009",0.3589566,0.7953389,68.0494239486665,20.2,2677.13,7.8925006041642,-1.15410455593658,1.57951184391211,10.2727980024114,0,0.21501975,15.547,0.235955,-2.772,-0.0841746075946528,-0.031205,0,7.66561701811402,4.13096474564511,63.3261329795,0.449498175,8.99037727090453e-05,0.65600614,68.930859249526,0.249920902668458,1.7041883795342,68.930859249526,-1.16219596136429,0.26425025,-0.0813897937602238,-0.204188379534197,-1.0881952195,0.00809140542771836,-48.730859249526,0.461356977839135,-7.20426004027488,-17.2092712559136,4418,-9.50897605249346,-1.32604751494095,-9.31677065174938
"119",139,"Italy","2010",13.023,5428.82,3204,7.33333333333333,3,0.159020739272156,1.33333333333333,0.631408396796345,2024,2015,0,0,27047.1537773686,"EUR",0.19425,3.25653e+11,59819407,62.26029801,0,0.4729,0,0.4729,5.35612130023288e-05,0.0444853857145122,-0.459802404251162,2.56671702498557,1.99243016469021,0,0,10.2053370579389,-1.63860928973438,-0.748871329332307,-9.83468538985614,0,-0.748871329332307,0,"Italy 2010",0.3361573,0.7462046,68.2163741829857,20.8,1809.60666666667,7.50086478941048,-1.19662075672752,1.57311418432021,10.2727980024114,0,0.21501975,15.547,0.235955,-2.524,-0.0674609444725718,-0.041705,0,7.66561701811402,4.13132395154232,63.3261329795,0.449498175,9.07534907525914e-05,0.65600614,68.930859249526,0.249920902668458,1.7041883795342,68.930859249526,-1.16219596136429,0.25788025,-0.0909001633963019,-0.370855046200864,-1.0658349695,-0.0344247953632231,-48.130859249526,0.0697211630854122,-7.59589585502861,-16.8082284093763,4568,-9.48000994670854,-1.25096343786107,-9.3073636199658
"120",165,"Italy","2011",12.881,15024.26,3970,6.4,5,0.219265554454117,1.6,0.606898532915967,2024,2015,0,0,27610.3518424366,"EUR",0.2026,3.27465e+11,60026841,63.36370528,0,0.433175,0,0.433175,6.61370802438196e-05,0.0907394622884823,-0.499393663483888,2.55575335741395,1.85629799036563,0,0,10.2259460481402,-1.59652168716755,-0.836613475585227,-9.62378099647396,0,-0.836613475585227,0,"Italy 2011",0.275086,0.4856351,68.4015073889511,21.1,3004.852,8.00798359450851,-1.36264745567504,1.31955346508183,10.2727980024114,0,0.21501975,15.547,0.235955,-2.666,-0.0468519542711814,-0.033355,0,7.66561701811402,4.14889122559427,63.3261329795,0.449498175,0.000250292365043831,0.65600614,68.930859249526,0.249920902668458,1.7041883795342,68.930859249526,-1.16219596136429,0.21815525,-0.0306553482143408,-0.104188379534197,0.0375723004999955,-0.200451494310747,-47.830859249526,0.57683996818344,-7.08877704993058,-16.3008644577211,4718,-9.45116211018757,-1.01503423529132,-8.29288086321259
"121",191,"Italy","2012",15.441,67411.78,16379,5,21,0.369640168736211,2,0.610692733214837,2024,2015,0,0,27128.5042491311,"EUR",0.22145,3.2138e+11,60191247,63.71250653,0,0.27865,0,0.27865,0.000272115977261611,0.327625223947074,-0.493161337931691,2.73702630933873,1.6094379124341,0,0,10.2083402714066,-1.50755844861293,-1.27779876496659,-8.20928219555416,0,-1.27779876496659,0,"Italy 2012",0.4071077,0.4822093,68.7608794235259,22.5,3210.08476190476,8.07405262135325,-1.28336825186721,1.33995772717741,10.2727980024114,0,0.21501975,15.547,0.235955,-0.106,-0.0644577310047723,-0.014505,0,7.66561701811402,4.15438087815782,63.3261329795,0.449498175,0.00111995985064074,0.65600614,68.930859249526,0.249920902668458,1.7041883795342,68.930859249526,-1.16219596136429,0.06363025,0.119719266067753,0.295811620465803,0.386373550499997,-0.121172290502913,-46.430859249526,0.642908995028182,-7.02270802308584,-14.8685150633131,11168,-8.59222967603439,-0.398369076732804,-6.79446244195987
"122",217,"Italy","2013",16.741,5453.26,4605,8.33333333333333,3,0.245687405938823,1.66666666666667,0.644535216075416,2024,2015,0,0,26881.4017625428,"EUR",0.23075,3.10757e+11,60311613,63.6503394,0,0.28825,0,0.28825,7.63534545162969e-05,0.0299286166685737,-0.439225817171814,2.81786080043365,2.12026353620009,0,0,10.1991899421815,-1.46642040559917,-1.24392711983297,-9.48013728153017,0,-1.24392711983297,0,"Italy 2013",0.4695114,0.4880841,69.3073989916076,22.9,1817.75333333333,7.50535658529734,-1.24740171837288,1.64140475997279,10.2727980024114,0,0.21501975,15.547,0.235955,1.194,-0.0736080602299225,-0.00520499999999999,0,7.66561701811402,4.15340465727514,63.3261329795,0.449498175,9.04180758687386e-05,0.65600614,68.930859249526,0.249920902668458,1.7041883795342,68.930859249526,-1.16219596136429,0.07323025,-0.00423349672963513,-0.0375217128675303,0.324206420499998,-0.0852057570085825,-46.030859249526,0.0742129589722724,-7.59140405914175,-16.8164229415515,6218,-9.17983163960088,-1.2013092654842,-9.31106635625413
